title,year,actors,genres,network,episodes
H.I.T,2007,"Go Hyun-jung,Ha Jung-woo,Kim Jung-min,Yoon Ji-min",Procedural drama,Munhwa Broadcasting Corporation,20
Happiness,2021,"Han Hyo-joo,Park Hyung-sik,Jo Woo-jin","Thriller,Soundtrack",tvN,12
Gyebaek,2011,"Lee Seo-jin,Cho Jae-hyun,Song Ji-hyo,Oh Yeon-soo","Historical,Action",Munhwa Broadcasting Corporation,36
Guardian Angel,2001,"Song Hye-kyo,Kim Min-jong","Drama,Romance",Seoul Broadcasting System,16
Grudge: The Revolt of Gumiho,2010,"Han Eun-jung,Jang Hyun-sung,Kim Yoo-jung,Seo Shin-ae","Period drama,Horror,Thriller",Korean Broadcasting System,16
Gunman in Joseon,2014,"Lee Joon-gi,Nam Sang-mi,Jeon Hye-bin,Han Joo-wan,Yu Oh-seong","Historical,Action,Drama,Romance,Pop,K-pop,soundtrack",KBS2,22
Gu Family Book,2013,"Lee Seung-gi,Bae Suzy,Sung Joon,Lee Yu-bi,Yoo Yeon-seok","Historical,Romance,Action,Fantasy,Pop,K-pop,soundtrack,R&B,teen pop",,24
Grid,2022,"Seo Kang-joon,Kim Ah-joong,Kim Mu-yeol,Kim Sung-kyun,Lee Si-young","Thriller,Science fiction",Star,10
Green Mothers' Club,2022,"Lee Yo-won,Choo Ja-hyun,Kim Gyu-ri,Jang Hye-jin,Joo Min-kyung","Drama,Friendship",JTBC,16
Green Rose,2005,"Go Soo,Lee Da-hae,Lee Jong-hyuk,Kim Seo-hyung","Action,Romance,Drama,Suspense",SBS TV,22
Great Inheritance,2006,"Kim Jaewon,Han Ji-min,Kim Ji-hoon,Lee Mi-sook","Romance,Drama,Comedy",Korean Broadcasting System,17
Grand Prince,2018,"Yoon Shi-yoon,Jin Se-yeon,Joo Sang-wook","Historical,Romance,Melodrama,Soundtrack",TV Chosun,20
Graceful Friends,2020,"Yoo Jun-sang,Song Yoon-ah,Bae Soo-bin,Han Eun-jung,Kim Sung-oh,Kim Hye-eun,Jung Suk-yong,Lee In-hye,Kim Won-hae,Kim Ji-young","Drama,Mystery",JTBC,17
Graceful Family,2019,"Im Soo-hyang,Lee Jang-woo,Shin Soo-yeon,Bae Jong-ok","Mystery,Suspense,Melodrama",MBN,16
Goodbye Solo,2006,"Chun Jung-myung,Yoon So-yi,Kim Min-hee,Bae Jong-ok,Lee Jae-ryong,Kim Nam-gil,Na Moon-hee","Romance,Drama,Mystery",Korean Broadcasting System,16
Gourmet,2008,"Kim Rae-won,Nam Sang-mi,Kim So-yeon,Kwon Oh-joong","Romance,Drama,Cooking",SBS TV,24
Goodbye Mr. Black,2016,"Lee Jin-wook,Moon Chae-won,Yoo In-young,Kim Kang-woo,Song Jae-rim","Thriller,Drama,Romance,Pop,K-pop,soundtrack",MBCTV,20
Goodbye Earth,2024,"Ahn Eun-jin,Yoo Ah-in,Jeon Sung-woo,Kim Yoon-hye","Science fiction,Dystopian",Netflix,12
Good Manager,2017,"Namkoong Min,Nam Sang-mi,Lee Jun-ho,Jung Hye-sung","Workplace,Drama,Comedy,Soundtrack",KBS2,20
"Good Job, Good Job",2009,"Chae Rim,Um Ki-joon,Kim Seung-soo,Kim Jung-hwa,Choi Daniel,Seo Hyo-rim","Romance,Drama,Family",Munhwa Broadcasting Corporation,40
Good Casting,2020,"Choi Kang-hee,Yoo In-young,Kim Ji-young,Lee Sang-yeob,Lee Jun-young,Lee Jong-hyuk","Action,Comedy,Soundtrack",SBS TV,16
Good Doctor,2013,"Joo Won,Moon Chae-won,Joo Sang-wook,Kim Min-seo","Medical drama,Romance,Comedy",KBS2,20
Golden Time,2012,"Lee Sun-kyun,Hwang Jung-eum,Lee Sung-min,Song Seon-mi","Medical drama,Romance",Munhwa Broadcasting Corporation,23
Golden Fish,2010,"Park Sang-won,Lee Tae-gon,Jo Yoon-hee,So Yoo-jin","Melodrama,Romance",Munhwa Broadcasting Corporation,134
Golden Cross,2014,"Kim Kang-woo,Lee Si-young,Um Ki-joon,Han Eun-jung","Drama,Revenge,Romance,Thriller",,20
Golden House,2010,"Shin Ha-kyun,Lee Bo-young,Baek Yoon-sik","Comedy,Thriller",tvN,20
God's Gift: 14 Days,2014,"Lee Bo-young,Cho Seung-woo,Kim Tae-woo,Jung Gyu-woon,Kim Yoo-bin","Time travel,Thriller",Seoul Broadcasting System,16
God of War,2012,"Kim Joo-hyuk,Kim Gyu-ri,Jeong Bo-seok,Park Sang-min,Joo Hyun,Lee Joo-hyun,Hong Ah-reum","Historical period drama,Action",Munhwa Broadcasting Corporation,56
Goddess of Fire,2013,"Moon Geun-young,Lee Sang-yoon,Kim Bum","Historical,Romance",MBC TV,32
Glorious Day,2014,"Park Se-young,Lee Sang-woo,Kim Mi-sook,Hwang Woo-seul-hye","Romance,Family,Drama",SBS TV,44
Goddess of Marriage,2013,"Nam Sang-mi,Lee Sang-woo,Kim Ji-hoon","Romance,Comedy,Drama",Seoul Broadcasting System,36
Glory Jane,2011,"Chun Jung-myung,Park Min-young,Lee Jang-woo","Romance,Melodrama,Action,Sports",Korean Broadcasting System,24
Go Back,2017,"Son Ho-jun,Jang Na-ra","Romance,Comedy,Drama,Soundtrack,Ballad",KBS2,12
Glass Slippers,2002,"Kim Hyun-joo,Kim Ji-ho,Han Jae-suk,So Ji-sub","Romance,Melodrama",SBS,40
Giant,2010,"Lee Beom-soo,Park Jin-hee,Joo Sang-wook,Hwang Jung-eum,Park Sang-min,Jeong Bo-seok,Lee Moon-sik",Period drama,SBS TV,60
Gap-dong,2014,"Yoon Sang-hyun,Kim Min-jung,Sung Dong-il,Kim Ji-won,Lee Joon","Crime,Thriller,Drama,Mystery,Action",tvN,20
Get Karl! Oh Soo-jung,2007,"Uhm Jung-hwa,Oh Ji-ho,Kang Sung-jin,Park Da-an","Romantic,Comedy",Seoul Broadcasting System,16
Gangnam Beauty,2018,"Im Soo-hyang,Cha Eun-woo,Jo Woo-ri,Kwak Dong-yeon","Coming of age,Romance comedy,Drama,Soundtrack",JTBC,16
"Friend, Our Legend",2009,"Hyun Bin,Kim Min-jun,Seo Do-young,Lee Si-eon,Wang Ji-hye,Bae Geu-rin,Jeong Yu-mi","Gangster,Friendship,Drama,Romance",Munhwa Broadcasting Corporation,20
Full House,2004,"Song Hye-kyo,Rain,Han Eun-jung,Kim Sung-soo","Romance,Comedy,Drama",Korean Broadcasting System,16
Freeze,2006,"Lee Seo-jin,Park Han-byul,Son Tae-young","Drama,Horror,Romance",,5
"Freedom Fighter, Lee Hoe-young",2010,"Jung Dong-hwan,Ahn Jae-mo,Lee Ah-yi,Hong Il-kwon,Kwon Oh-joong",Historical,KBS1,5
"From Now On, Showtime!",2022,"Park Hae-jin,Jin Ki-joo,Jung Joon-ho","Romantic comedy,Fantasy,Soundtrack",MBC TV,16
Fly High Butterfly,2022,"Kim Hyang-gi,Oh Yoon-ah,Choi Daniel,Shim Eun-woo",Drama,Chunghwa Telecom MOD,16
Four Sisters,2001,"Hwang Soo-jung,Chae Rim,Ahn Yeon-hong,Park Ye-jin","Drama,Romance",Munhwa Broadcasting Corporation,20
Forecasting Love and Weather,2022,"Park Min-young,Song Kang,Yoon Park,Yura",Romantic comedy,JTBC,16
Flowers of the Prison,2016,"Jin Se-yeon,Go Soo,Kim Mi-sook,Jung Joon-ho,Park Joo-mi,Yoon Joo-hee,Kim Soo-yeon,ko,Jun Kwang-ryul,Choi Tae-joon","Historical,Romance,Action,Drama",MBC,51
Flower of Revenge,2013,"Jang Shin-young,Kang Kyung-joon,Seo Do-young,Sa Hee,Jung Ji-yoon,Lee Won-suk","Melodrama,Revenge,Family",jTBC,120
Flower of Queen,2015,"Kim Sung-ryung,Lee Sung-kyung",Melodrama,Munhwa Broadcasting Corporation,50
Flower of Evil,2020,"Lee Joon-gi,Moon Chae-won,Jang Hee-jin,Seo Hyun-woo","Crime,Romance,Mystery,Thriller",tvN,16
Flower Grandpa Investigation Unit,2014,"Lee Soon-jae,Byun Hee-bong,Jang Gwang,Kim Hee-chul",Comedy,tvN,12
Flower Band,2012,"Sung Joon,Jo Bo-ah,Kim Myung-soo,Jung Eui-chul,Kim Min-seok,Yoo Min-kyu,Lee Hyun-jae","Teen,Romance,Music,Pop,K-pop,soundtrack,rock",tvN,16
First Love of a Royal Prince,2004,"Sung Yu-ri,Cha Tae-hyun,Kim Nam-jin,Jin Jae-young","Romance,Comedy,Drama",MBC,18
Five Fingers,2012,"Ju Ji-hoon,Chae Shi-ra,Ji Chang-wook,Jin Se-yeon","Romance,Music",SBS TV,30
Fireworks,2006,"Han Chae-young,Kang Ji-hwan,Park Eun-hye,Yoon Sang-hyun","Melodrama,Romance",Munhwa Broadcasting Corporation,17
Five Enough,2016,main cast,Family drama,KBS2,54
Feel Good to Die,2018,"Kang Ji-hwan,Baek Jin-hee,Gong Myung","Comedy,Romance,Office,Supernatural,Soundtrack",KBS2,32
Feast of the Gods,2012,"Sung Yu-ri,Seo Hyun-jin,Joo Sang-wook,Lee Sang-woo","Melodrama,Romance,Comedy,Food",Munhwa Broadcasting Corporation,32
Fight for My Way,2017,"Park Seo-joon,Kim Ji-won,Ahn Jae-hong,Song Ha-yoon","Workplace,Slice of Life,Romance,Soundtrack",KBS2,16
Father's House,2009,"Choi Min-soo,Moon Jung-hee,Kim Soo-hyun","Drama,Serial",,2
Fashion King,2012,"Yoo Ah-in,Shin Se-kyung,Kwon Yu-ri,Lee Je-hoon","Romance,Drama",SBS,20
Fashion 70s,2005,"Lee Yo-won,Kim Min-jung,Joo Jin-mo,Chun Jung-myung","Period drama,Romance,Family,Friendship",Seoul Broadcasting System,28
Fantastic,2016,"Joo Sang-wook,Kim Hyun-joo,Kim Tae-hoon,Park Si-yeon,Ji Soo","Romantic comedy,Drama",JTBC,16
"Fanletter, Please!",2022,"Choi Soo-young,Yoon Park,Shin Yeon-woo",Romantic comedy,MBC TV,4
Familiar Wife,2018,"Ji Sung,Han Ji-min,Jang Seung-jo,Kang Han-na","Romance,Fantasy,Drama,Comedy,Soundtrack",tvN,16
Falling for Challenge,2015,"Kim Min-seok,Kim So-eun,Jang Hee-ryung,Jang Yoo-sang","Web series,Romance,Drama", Naver TV Cast,6
Faith,2012,"Lee Min-ho,Kim Hee-sun","Fantasy,Historical fusion,Romance,Medical drama,Soundtrack",SBS TV,24
Ex-Girlfriends' Club,2015,"Byun Yo-han,Song Ji-hyo,Lee Yoon-ji,Jang Ji-eun,Ryu Hwa-young","Romance,Comedy",tvN,12
Entourage,2016,"Cho Jin-woong,Seo Kang-joon,Lee Kwang-soo,Park Jeong-min,Lee Dong-hwi","Black comedy,Comedy drama",tvN,16
Eve,2022,"Seo Yea-ji,Park Byung-eun,Yoo Sun,Lee Sang-yeob","Melodrama,Revenge",tvN,16
Entertainer,2016,"Ji Sung,Lee Hye-ri,Kang Min-hyuk,Chae Jung-an","Romance comedy,Music",SBS,18
Winter Sonata,2002,"Bae Yong-joon,Choi Ji-woo","Romance,Melodrama",KBS2,20
Summer Scent,2003,"Song Seung-heon,Son Ye-jin,Ryu Jin,Han Ji-hye","Romance,Melodrama",KBS2,20
Spring Waltz,2006,"Seo Do-young,Han Hyo-joo,Daniel Henney,Lee So-yeon","Romance,Melodrama",KBS2,20
Autumn in My Heart,2000,"Song Seung-heon,Song Hye-kyo,Won Bin","Melodrama,Romance",KBS2,16
Endless Love,2014,"Hwang Jung-eum,Ryu Soo-young,Jung Kyung-ho","Period drama,Romance,Melodrama,Crime,Action",SBS TV,37
Enchanting Neighbor,2015,"Yoon Son-ha,Seo Do-young,Park Tam-hee,Yoon Hee-seok","Melodrama,Romance,Revenge,Family",Seoul Broadcasting System,156
Emergency Couple,2014,"Song Ji-hyo,Choi Jin-hyuk,Lee Pil-mo,Choi Yeo-jin,Clara","Medical drama,Romance,Pop,K-pop,soundtrack",tvN,21
Empire of Gold,2013,"Go Soo,Lee Yo-won,Son Hyun-joo","Period drama,Political drama,Romance",SBS TV,24
"Eight Days, Assassination Attempts against King Jeongjo",2007,"Kim Sang-joong,Park Jung-chul,Jung Ae-ri,Lee Seon-ho,Hee Won","Period drama,Drama",,10
Eccentric! Chef Moon,2020,"Eric Mun,Go Won-hee","Drama,Romantic comedy",Channel A,16
Dummy Mommy,2012,"Kim Hyun-joo,Ha Hee-ra","Family,Drama,Comedy",SBS TV,20
Duel,2017,"Jung Jae-young,Yang Se-jong,Kim Jung-eun,Seo Eun-soo","Sci-fi,Thriller,Suspense,Crime,Soundtrack",OCN,16
Dr. Kkang,2006,"Yang Dong-geun,Han Ga-in,Lee Jong-hyuk","Romance,Drama",Munhwa Broadcasting Corporation,16
Dr. Jin,2012,"Song Seung-heon,Park Min-young,Lee Beom-soo,Kim Jae-joong,Lee So-yeon","Romance,Time travel,Medical drama",Munhwa Broadcasting Corporation,22
Dr. Ian,2015,"Sandara Park,Kim Young-kwang","Romance,Drama,Pop,K-pop,soundtrack,R&B",Naver,9
Dr. Champ,2010,"Kim So-yeon,Uhm Tae-woong,Jung Gyu-woon,Cha Ye-ryun","Romance,Sports",SBS TV,16
Drinking Solo,2016,"Ha Seok-jin,Park Ha-sun","Romance,Comedy,Drama, Food",,16
Dream High 2,2012,"Kang So-ra,Jeong Jin-woon,Jay B,Park Ji-yeon,Hyolyn,Park Seo-joon","Music,Teen,Comedy,Drama,Romance,Pop,K-pop,soundtrack,R&B,teen pop",KBS2,16
Dream,2009,"Joo Jin-mo,Kim Bum","Romance,Sports,K-pop,Soundtrack",Seoul Broadcasting System,20
White Christmas,2011,"Kim Sang-kyung,Baek Sung-hyun,Kim Young-kwang,Lee Soo-hyuk","Mystery,Thriller",Korean Broadcasting System,8
Puberty Medley,2013,"Kwak Dong-yeon,Lee Se-young,Choi Tae-joon,Kwak Jung-wook,Park Jeong-min,Bae Noo-ri,Yoon Park","School,Coming-of-age,Romantic-comedy",KBS2,4
Just an Ordinary Love Story,2012,"Yoo Da-in,Yeon Woo-jin","Drama,romance",KBS2,4
Don't Look Back: The Legend of Orpheus,2013,"Kim Nam-gil,Son Ye-jin","Revenge,Drama,Thriller,Romance",KBS2,20
Don't Dare to Dream,2016,"Gong Hyo-jin,Jo Jung-suk,Go Kyung-pyo,Lee Mi-sook,Park Ji-young,Lee Sung-jae,Seo Ji-hye","Workplace,Romantic comedy,Soundtrack",SBS,24
Doctor Stranger,2014,"Lee Jong-suk,Jin Se-yeon,Park Hae-jin,Kang So-ra","Medical,Romance,Soundtrack",Seoul Broadcasting System,20
Dong Yi,2010,"Han Hyo-joo,Ji Jin-hee,Lee So-yeon,Bae Soo-bin,Park Ha-sun,Jung Jin-young","Historical,Romance",MBC TV,60
Dokgo Rewind,2018,"Oh Se-hun,Jo Byeong-kyu,Ahn Bo-hyun,Kang Mi-na","Action,School Life,K-Pop,Dance,Rap,/,Hip hop,Funk,/,Blues,Soundtrack",Kakao Page,20
Doctor Lawyer,2022,"So Ji-sub,Shin Sung-rok,Im Soo-hyang","Medical,Legal",MBC TV,16
Doctor Detective,2019,"Park Jin-hee,Bong Tae-gyu,Lee Ki-woo","Drama,Soundtrack",SBS TV,16
Distorted,2017,"Namkoong Min,Uhm Ji-won,Yoo Jun-sang,Jeon Hye-bin,Moon Sung-keun","Legal thriller,Political,Drama,Soundtrack",SBS TV,32
Do You Like Brahms?,2020,"Park Eun-bin,Kim Min-jae,Kim Sung-cheol,Park Ji-hyun,Lee You-jin,Bae Da-bin","Romance,Music,Soundtrack",SBS TV,16
Discovery of Love,2014,"Jung Yu-mi,Eric Mun,Sung Joon","Romance,Drama,Comedy",KBS2,16
Do Do Sol Sol La La Sol,2020,"Go Ara,Lee Jae-wook,Kim Joo-hun","Comedy,Romance,Soundtrack",KBS2,16
Divorce Lawyer in Love,2015,"Cho Yeo-jeong,Yeon Woo-jin","Romance,Comedy",Seoul Broadcasting System,18
Diary of a Night Watchman,2014,"Jung Il-woo,Ko Sung-hee,Jung Yun-ho,Seo Yea-ji","Historical,Suspense,Fantasy,Romance",MBC TV,24
Detectives in Trouble,2011,"Song Il-kook,Song Ji-hyo,Lee Jong-hyuk",Police procedural,Korean Broadcasting System,16
Designated Survivor: 60 Days,2019,"Ji Jin-hee,Lee Joon-hyuk,Huh Joon-ho,Kang Han-na,Bae Jong-ok","Political drama,Political thriller,Crime drama,Soundtrack",tvN,16
Delicious Proposal,2001,"Jung Joon,Son Ye-jin,So Yoo-jin,So Ji-sub","Romance,Comedy,Drama",Munhwa Broadcasting Corporation,16
Definitely Neighbors,2010,"Son Hyun-joo,Yoo Ho-jeong,Kim Sung-ryung,Shin Sung-rok","Drama,Romance,Family",Seoul Broadcasting System,65
Deep Rooted Tree,2011,"Han Suk-kyu,Jang Hyuk,Shin Se-kyung","Historical,Mystery,Romance",SBS,24
Dear.M,2022,"Park Hye-su,Jeong Jae-hyun,Roh Jeong-eui,Bae Hyun-sung,Woo Da-vi,Lee Jin-hyuk","Romance,Soundtrack",KBS2,12
Dear Archimedes,2019,"Oh Se-hun,Xu Ling Yue,Yang Ye Ming,Wang Zi Xuan","Web series,Suspense,Romantic",,20
Dark Hole,2021,"Kim Ok-vin,Lee Joon-hyuk","Thriller,Mystery,Fantasy",tvN,12
Daring Women,2010,"Lee Yu-ri,Lee Chang-hoon,Seo Ji-young,Lee Joong-moon","Drama,Romance",Seoul Broadcasting System,105
Dating Agency: Cyrano,2013,"Lee Jong-hyuk,Choi Soo-young,Lee Chun-hee,Hong Jong-hyun,Cho Yoon-woo","Romance,Comedy",tvN,16
Damo,2003,"Ha Ji-won,Lee Seo-jin,Kim Min-jun","Historical,Romance,Action",MBC TV,14
Dal-ja's Spring,2007,"Chae Rim,Lee Min-ki,Lee Hyun-woo,Lee Hye-young,Gong Hyung-jin","Romance,Comedy,Drama",Korean Broadcasting System,22
D-Day,2015,"Kim Young-kwang,Jung So-min,Ha Seok-jin","Disaster,Medical drama,Romance",JTBC,20
Curtain Call,2022,"Kang Ha-neul,Ha Ji-won,Go Doo-shim,Sung Dong-il,Jung Ji-so,Noh Sang-hyun,Kwon Sang-woo","Romance,Family drama",KBS2,16
Cunning Single Lady,2014,"Lee Min-jung,Joo Sang-wook","Romance,Comedy,Drama,Pop,K-pop,soundtrack,R&B",Munhwa Broadcasting Corporation,16
Cross,2018,"Go Kyung-pyo,Cho Jae-hyun,Jeon So-min","Medical,Thriller",tvN,16
Criminal Minds,2017,"Son Hyun-joo,Lee Joon-gi,Moon Chae-won,Yoo Sun,Lee Sun-bin,Go Yoon,Kim Yeong-cheol","Procedural,Action,Soundtrack",tvN,20
Crazy Love,2013,"Park Sun-young,Go Se-won,Heo Tae-hee,Kim Yeon-joo,Kim Hae-in,Choi Dae-hoon","Melodrama,Romance",tvN,100
Couple or Trouble,2006,"Han Ye-seul,Oh Ji-ho",Romantic comedy,Munhwa Broadcasting Corporation,16
"Cool Guys, Hot Ramen",2011,"Jung Il-woo,Lee Ki-woo,Park Min-woo,Cho Yoon-woo","Romance,Comedy",tvN,16
Conspiracy in the Court,2007,"Jin Yi-han,Kim Ha-eun,Lee Chun-hee,Ahn Nae-sang",Historical,KBS2,8
Connect,2022,"Jung Hae-in,Go Kyung-pyo,Kim Hye-jun","Psychological thriller,Mystery,Horror,Science Fiction",Disney+,6
Confession,2019,"Lee Jun-ho,Yoo Jae-myung,Shin Hyun-been","Legal drama,Soundtrack",tvN,16
Come Back Mister,2016,"Rain,Oh Yeon-seo,Kim In-kwon,Kim Soo-ro,Lee Min-jung,Lee Hanee,Ji Ha-yoon,Choi Won-young,Yoon Park","Melodrama,Comedy,Family,Romance,Soundtrack",SBS,16
"Coffee, Do Me a Favor",2018,"Yong Jun-hyung,Kim Min-young,Chae Seo-jin","Romantic comedy,Fantasy",Channel A,12
Class of Lies,2019,"Yoon Kyun-sang,Keum Sae-rok,Choi Yu-hwa","Drama,Soundtrack",OCN,16
City of the Sun,2015,"Kim Joon,Jung Min,Song Min-jung,Jung Joo-yeon,Kim Sung-kyung","Political,Drama",MBC Dramanet,16
City Hunter,2011,"Lee Min-ho,Park Min-young,Lee Joon-hyuk,Kim Sang-joong,Hwang Sun-hee,Goo Hara,Chun Ho-jin","Action,Thriller,Romance,Soundtrack",SBS TV,20
Circle,2017,"Yeo Jin-goo,Kim Kang-woo,Gong Seung-yeon,Lee Gi-kwang","Science fiction,Dystopian fiction,Mystery,Thriller,Soundtrack",tvN,12
Cinderella's Stepsister,2010,"Moon Geun-young,Chun Jung-myung,Seo Woo,Ok Taec-yeon","Melodrama,Romance",Korean Broadcasting System,20
Cinderella with Four Knights,2016,"Park So-dam,Jung Il-woo,Ahn Jae-hyun,Lee Jung-shin,Choi Min,Son Na-eun","Romantic comedy,Soundtrack",tvN,16
Cinderella Man,2009,"Kwon Sang-woo,Im Yoon-ah,Han Eun-jung,Song Chang-eui","Romance,Drama",MBC TV,16
Choco Bank,2016,"Kim Jong-in,Park Eun-bin","Web series,Drama,Comedy,Romance,Business",Naver TV Cast,6
Chip In,2020,"Oh Na-ra,Kim Hye-jun","Mystery,Comedy,Thriller",MBC TV,8
Chimera,2021,"Park Hae-soo,Lee Hee-joon,Claudia Kim",Crime thriller,OCN,16
Children of the 20th Century,2017,"Han Ye-seul,Kim Ji-suk,Lee Sang-woo,Ryu Hyun-kyung,Lee Sang-hee,Ahn Se-ha,Oh Sang-jin","Romance,Comedy",MBC TV,32
Children of a Lesser God,2018,"Kang Ji-hwan,Kim Ok-vin,Sim Hee-seop","Mystery,Horror,Thriller,Drama",OCN,16
Chief of Staff,2019,"Lee Jung-jae,Shin Min-a,Lee Elijah,Kim Dong-jun","Political,Soundtrack,Soundtrack",JTBC,20
Chicken Nugget,2024,"Ryu Seung-ryong,Ahn Jae-hong,Kim Yoo-jung","Comedy,Mystery",Netflix,10
Chicago Typewriter,2017,"Yoo Ah-in,Im Soo-jung,Go Kyung-pyo","Fantasy,Romance,Comedy,Soundtrack",tvN,16
Cheese in the Trap,2016,"Park Hae-jin,Kim Go-eun,Seo Kang-joon,Lee Sung-kyung","Romance,Drama",tvN,16
Cheer Up!,2015,"Jung Eun-ji,Lee Won-keun,Chae Soo-bin,Cha Hak-yeon,Ji Soo,Chae Soo-bin","Teen,Romance,Drama,Pop,K-pop,soundtrack",KBS,12
Catch the Ghost,2019,"Moon Geun-young,Kim Seon-ho","Crime drama, Humor,Soundtrack",tvN,16
Capital Scandal,2007,"Kang Ji-hwan,Han Ji-min,Ryu Jin,Han Go-eun","Historical,Romance,Comedy,Drama",KBS2,16
Can't Lose,2011,"Choi Ji-woo,Yoon Sang-hyun,Jo Mi-ryung,Kim Jung-tae","Romantic comedy,Legal drama",Munhwa Broadcasting Corporation,18
"Can We Fall in Love, Again?",2014,"Uhm Tae-woong,Eugene,Kim Yoo-mi,Choi Jung-yoon,Kim Sung-soo","Romance,Comedy,Family",JTBC,20
Call It Love,2023,"Lee Sung-kyung,Kim Young-kwang","Melodrama,Romance",,16
Cain and Abel,2009,"So Ji-sub,Shin Hyun-joon,Han Ji-min,Chae Jung-an","Melodrama,Action",SBS TV,20
Bubble Gum,2015,"Lee Dong-wook,Jung Ryeo-won,Lee Jong-hyuk,Park Hee-von","Romance,Drama",tvN,16
Bride of the Century,2014,"Lee Hong-gi,Yang Jin-sung,Sung Hyuk","Comedy,Romance,Fantasy,Melodrama,Pop,K-pop,soundtrack",TV Chosun,20
Brilliant Heritage,2020,"Park In-hwan,Kang Se-jung,Shin Jung-yoon,ko","Comedy,Romance,Drama,Family,Melodrama",KBS1,122
Bridal Mask,2012,"Joo Won,Jin Se-yeon,Park Ki-woong,Han Chae-ah","Romance,Action,Period drama",KBS2,28
"Bread, Love and Dreams",2010,"Yoon Shi-yoon,Joo Won,Eugene,Lee Young-ah","Romance,Slice of life story,Melodrama",KBS2,30
"Bravo, My Life",2022,"Nam Sang-ji,Yang Byung-yeol,Lee Si-gang,Cha Min-ji","Drama,Romantic comedy,Family,Soundtrack",KBS1,120
Bossam: Steal the Fate,2021,"Jung Il-woo,Kwon Yu-ri,Shin Hyun-soo,Kim Tae-woo","Historical Drama,Romance,Soundtrack",MBN,20
Boys Over Flowers,2009,"Koo Hye-sun,Lee Min-ho,Kim Hyun-joong,Kim Bum,Kim Joon","Romance,Comedy,Drama,K-pop,K-pop",KBS2,25
Bodyguard,2003,"Cha Seung-won,Lim Eun-kyung,Han Go-eun","Action,Romance,Comedy",Korean Broadcasting System,22
Blossom Sisters,2010,"Song Seon-mi,Maya,Lee Yoon-ji,Jung Chan,Jung Woo,Kim Dong-wook,Yoo Dong-geun,Yang Mi-kyung","Romance,Family,Drama",MBC,50
Blooded Palace: The War of Flowers,2013,"Kim Hyun-joo,Lee Deok-hwa,Song Seon-mi,Jung Sung-mo,Jung Sung-woon,Kim Joo-young,Go Won-hee,Jun Tae-soo","Historical,Drama,Romance",jTBC,50
Blood,2015,"Ahn Jae-hyun,Ji Jin-hee,Koo Hye-sun,Son Soo-hyun","Medical drama,Vampire,Thriller,Romance,Soundtrack",KBS,20
Blessing of the Sea,2019,"Lee So-yeon,Jae Hee,Jo An","Melodrama,Comedy,Tragedy",MBC,121
Blade Man,2014,"Lee Dong-wook,Shin Se-kyung","Romance,Fantasy,Drama,Comedy,Soundtrack",Korean Broadcasting System,18
Black,2017,"Song Seung-heon,Go Ara,Lee El,Kim Dong-jun","Romance,Fantasy,Thriller,Comedy,Soundtrack",OCN,18
Bitter Sweet Life,2008,"Oh Yeon-soo,Lee Dong-wook,Jung Bo-seok,Park Si-yeon","Romance,Drama,Mystery",Munhwa Broadcasting Corporation,24
Birthday Letter,2019,"Song Geon-hee,Jo Soo-min,Jeon Moo-song,Jung Young-sook,4","Period drama,War,Action,Thriller,Romance",KBS2,4
Birthcare Center,2020,"Uhm Ji-won,Park Ha-sun,Jang Hye-jin,Yoon Park,Choi Ri","Melodrama,Medical drama,Comedy,Soundtrack",tvN,8
Birdie Buddy,2011,"Uee,Lee Yong-woo,Lee Da-hee","Romance,Comedy,Sports",tvN,24
Big Thing,2010,"Go Hyun-jung,Kwon Sang-woo,Cha In-pyo,Lee Soo-kyung","Drama,Romance,Political drama",Seoul Broadcasting System,24
Big,2012,"Gong Yoo,Lee Min-jung,Bae Suzy,Shin Won-ho","Romance,Comedy,Drama,Fantasy,Pop,K-pop,soundtrack,R&B,teen pop",KBS2,16
Big Man,2014,"Kang Ji-hwan,Choi Daniel,Lee Da-hee,Jung So-min","Melodrama,Suspense",KBS2,16
Beyond the Clouds,2014,"Yoon Kye-sang,Han Ji-hye,Cho Jin-woong,Kim Yoo-ri","Romance,Melodrama",KBS2,16
Beyond Evil,2021,"Shin Ha-kyun,Yeo Jin-goo","Procedural,Psychological thriller,Soundtrack",JTBC,16
Begins ≠ Youth,2024,"Seo Ji-hoon,Noh Jong-hyun,Ahn Ji-ho,Seo Young-joo,Kim Yoon-woo,Jung Woo-jin,Jeon Jin-seo",Drama,,12
Behind the White Tower,2007,"Kim Myung-min,Lee Sun-kyun",Medical drama,MBC TV,20
Behind Every Star,2022,"Lee Seo-jin,Kwak Sun-young,Seo Hyun-woo,Joo Hyun-young","Romance,Comedy drama,Soundtrack",tvN,12
Beethoven Virus,2008,"Kim Myung-min,Lee Ji-ah,Jang Keun-suk","Romance,Music",MBC TV,18
Becoming a Billionaire,2010,"Ji Hyun-woo,Lee Bo-young,Lee Si-young,Namkoong Min","Comedy,Romance",KBS2,20
Becky's Back,2016,"Kang Ye-won,Jin Ji-hee,Kim Sung-oh,Choi Dae-chul,In Gyo-jin,Choi Phillip",Family comedy,KBS2,4
Because This Is My First Twenty,2018,Kim So-hyun,Travel Show,,12
